City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,constantia,44.1833,28.65,4.28000000000003,76,30,11.89,RO,1701241878
1,whitehorse,60.7161,-135.0538,-13.159999999999968,92,15,1.79,CA,1701241667
2,albany,42.6001,-73.9662,-3.359999999999957,70,6,1.34,US,1701241889
3,waitangi,-43.9535,-176.5597,11.010000000000048,78,40,0.89,NZ,1701241681
4,longyearbyen,78.2186,15.6401,-0.08999999999997499,86,75,4.12,SJ,1701241897
5,newman,37.3138,-121.0208,7.3799999999999955,54,0,1.89,US,1701241643
6,grytviken,-54.2811,-36.5092,1.490000000000009,82,100,0.88,GS,1701241904
7,arcos de la frontera,36.7508,-5.8106,16.370000000000005,83,100,1.79,ES,1701241909
8,edinburgh of the seven seas,-37.0676,-12.3116,14.470000000000027,81,100,7.39,SH,1701241911
9,alice springs,-23.7,133.8833,20.75,88,100,4.63,AU,1701241911
10,bay roberts,47.5999,-53.2648,4.03000000000003,94,100,2.74,CA,1701241911
11,dunedin,-45.8742,170.5036,11.0,75,13,0.89,NZ,1701241912
12,ulsteinvik,62.3432,5.8487,-0.9399999999999977,65,100,4.02,NO,1701241704
13,kerman,30.2832,57.0788,12.920000000000016,28,0,0.0,IR,1701241916
14,port-aux-francais,-49.35,70.2167,5.0400000000000205,95,99,8.7,TF,1701241916
15,shangzhi,45.2167,127.9667,-15.639999999999986,87,99,4.59,CN,1701241916
16,san isidro de curuguaty,-24.5167,-55.7,22.150000000000034,98,95,1.68,PY,1701241917
17,glace bay,46.1969,-59.957,0.4399999999999977,91,40,3.6,CA,1701241919
18,blackmans bay,-43.0167,147.3167,13.620000000000005,80,97,0.45,AU,1701241713
19,lumphat,13.4878,106.9816,33.950000000000045,43,73,4.92,KH,1701241921
20,wailua homesteads,22.0669,-159.378,23.24000000000001,91,20,3.6,US,1701241924
21,qaqortoq,60.7167,-46.0333,-5.639999999999986,64,100,4.23,GL,1701241711
22,suihua,46.6406,126.9969,-14.769999999999982,84,100,3.97,CN,1701241926
23,san luis de la loma,17.2706,-100.8939,25.680000000000007,76,19,1.51,MX,1701241926
24,ishigaki,24.3448,124.1572,24.07000000000005,70,43,4.83,JP,1701241926
25,happy valley-goose bay,53.3168,-60.3315,1.170000000000016,93,100,7.2,CA,1701241927
26,chongwe,-15.3292,28.682,29.32000000000005,42,20,1.79,ZM,1701241927
27,avarua,-21.2078,-159.775,24.03000000000003,83,75,6.17,CK,1701241931
28,port mathurin,-19.6833,63.4167,25.350000000000023,69,0,4.45,MU,1701241656
29,zonguldak,41.25,31.8333,11.470000000000027,66,100,4.51,TR,1701241934
30,mil'kovo,55.6078,37.7956,-5.779999999999973,98,90,2.98,RU,1701241935
31,lihue,21.9789,-159.3672,23.58000000000004,89,20,3.6,US,1701241657
32,puerto baquerizo moreno,-0.9,-89.6,24.220000000000027,80,64,5.71,EC,1701241940
33,puerto natales,-51.7236,-72.4875,3.590000000000032,92,70,5.97,CL,1701241940
34,jamestown,42.097,-79.2353,-5.7099999999999795,89,100,5.66,US,1701241931
35,katsuura,35.1333,140.3,15.300000000000011,51,31,12.58,JP,1701241940
36,kapa'a,22.0752,-159.319,23.99000000000001,91,20,3.6,US,1701241705
37,tralee,52.2704,-9.7026,3.6899999999999977,87,100,2.28,IE,1701241946
38,opuwo,-18.0607,13.84,25.340000000000032,54,48,1.94,NA,1701241948
39,papatowai,-46.5619,169.4708,10.700000000000045,62,30,5.03,NZ,1701241949
40,taulaga,-11.0553,-171.0883,28.910000000000025,74,100,5.33,AS,1701241959
41,sinabang,2.4803,96.3801,28.680000000000007,73,86,3.22,ID,1701241969
42,leava,-14.3,-178.1667,28.78000000000003,81,78,8.49,WF,1701241979
43,mount isa,-20.7333,139.5,34.870000000000005,29,97,4.63,AU,1701241985
44,bredasdorp,-34.5322,20.0403,20.090000000000032,43,22,3.29,ZA,1701241988
45,naryn,41.4287,75.9911,1.990000000000009,65,100,1.9,KG,1701241988
46,olonkinbyen,70.9221,-8.7187,1.7000000000000455,79,82,3.5,SJ,1701241989
47,coquimbo,-29.9533,-71.3436,12.850000000000023,87,0,1.54,CL,1701241989
48,las palmas de gran canaria,28.0997,-15.4134,18.07000000000005,77,20,3.09,ES,1701241989
49,college,64.8569,-147.8028,2.180000000000007,80,75,3.6,US,1701241989
50,taro,-8.3862,115.28,26.03000000000003,85,100,1.1,ID,1701241990
